节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE883894,规章,Law,否,Law,3,9,2.55,5,4,1.35,1.2,0.0764,9,社区3:9
LE300791,第二十一条,Section,否,Section,3,6,2.55,1,5,0.2,2.35,0.2289,6,社区3:6
LE075489,责任人员,PartyWithResponsibility,是,PartyWithResponsibility,3,4,3.9,2,2,1.9,2.0,0.2612,4,社区3:4
LE457459,第二十四条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE777279,不完整、不准确陈述,Action,否,Action,3,2,1.15,2,0,1.15,0.0,0.5223,2,社区3:2
LE885669,第三条,Section,否,Section,3,7,5.9,1,6,0.2,5.7,0.0,7,社区0:1; 社区3:6
LE594331,第二章信息披露违法行为,Chapter,否,Chapter,3,5,1.0,1,4,0.2,0.8,0.0,5,社区3:5
LE925712,收购人,PartyWithResponsibility,是,PartyWithResponsibility,3,3,2.95,1,2,0.95,2.0,0.0,3,社区3:3
LE227523,勤勉尽责,Action,否,Action,8,5,2.45,4,1,2.3,0.15,0.2257,5,社区8:5
LE968046,违法买卖公司股票行为,Action,否,Action,3,9,8.15,9,0,8.15,0.0,0.1161,9,社区0:1; 社区3:8
LE436330,第七条,Section,否,Section,3,9,2.8,1,8,0.2,2.6,0.1258,9,社区3:9
LE813140,不真实记载,Action,否,Action,3,2,1.15,2,0,1.15,0.0,0.5223,2,社区3:2
LE511416,信息披露违法行为行政责任认定规则（2011年4月29日证监会公告[2011]11号）,Title,否,Title,3,5,1.0,0,5,0.0,1.0,0.0,5,社区3:5
LE232418,虚构业务入账,Action,否,Action,3,2,1.15,2,0,1.15,0.0,0.5223,2,社区3:2
LE148134,第十四条,Section,否,Section,3,14,8.55,1,13,0.2,8.35,0.2296,14,社区0:1; 社区3:13
LE791146,规范性文件,Law,否,Law,3,8,2.25,4,4,1.05,1.2,0.0898,8,社区3:8
LE245773,不配合证券监管机构监管,Action,否,Action,8,6,0.9,3,3,0.45,0.45,0.02,6,社区3:1; 社区8:5
LE785983,证监会,RegulatoryAuthority,否,RegulatoryAuthority,8,13,3.65,3,10,0.45,3.2,0.056,13,社区3:3; 社区8:10
LE110157,发行人,PartyWithResponsibility,是,PartyWithResponsibility,3,7,6.9,2,5,1.9,5.0,0.0,7,社区3:7
LE263974,第十八条,Section,否,Section,3,9,3.8,1,8,0.2,3.6,0.2176,9,社区3:9
LE247215,提供伪证,Action,否,Action,8,6,0.9,3,3,0.45,0.45,0.02,6,社区3:1; 社区8:5
LE278928,综合审查认定其责任,PunishmentMeasure,否,PunishmentMeasure,3,1,0.15,1,0,0.15,0.0,0.0,1,社区3:1
LE178751,第五条,Section,否,Section,3,3,0.5,1,2,0.2,0.3,0.05,3,社区3:2; 社区8:1
LE956210,《中华人民共和国行政处罚法》,Law,否,Law,3,1,0.3,1,0,0.3,0.0,0.0,1,社区3:1
LE994600,误导性陈述或者重大遗漏,Action,否,Action,3,4,3.15,4,0,3.15,0.0,0.2612,4,社区3:4
LE436234,公司工作人员,PartyWithResponsibility,是,PartyWithResponsibility,3,6,5.95,1,5,0.95,5.0,0.1741,6,社区3:6
LE563223,第二十条,Section,否,Section,3,3,0.5,1,2,0.2,0.3,0.0,3,社区3:3
LE430007,保护投资者的合法权益,Responsibility,否,Responsibility,3,6,6.0,6,0,6.0,0.0,0.0,6,社区0:1; 社区3:5
LE249119,股东,PartyWithResponsibility,是,PartyWithResponsibility,3,1,0.95,1,0,0.95,0.0,0.0,1,社区3:1
LE330058,第一章总则,Chapter,否,Chapter,3,7,1.4,1,6,0.2,1.2,0.0,7,社区3:6; 社区8:1
LE373753,第五章附则,Chapter,否,Chapter,3,2,0.4,1,1,0.2,0.2,0.0,2,社区3:2
LE623817,第十一条,Section,否,Section,3,3,1.3,1,2,0.2,1.1,0.1741,3,社区3:3
LE159617,信息披露真实、准确、完整、及时和公平义务,Responsibility,否,Responsibility,3,3,3.0,3,0,3.0,0.0,0.0,3,社区3:3
LE905379,有关信息披露法律,Law,否,Law,3,2,0.45,2,0,0.45,0.0,0.189,2,社区3:2
LE270152,追究刑事责任,PunishmentMeasure,否,PunishmentMeasure,3,1,0.15,1,0,0.15,0.0,0.0,1,社区3:1
LE889984,第六条,Section,否,Section,8,6,2.55,1,5,0.2,2.35,0.2289,6,社区3:1; 社区8:5
LE790495,第十九条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE056105,所披露的信息有重大遗漏,Action,否,Action,3,7,2.5,7,0,2.5,0.0,0.1387,7,社区3:7
LE917374,制作、出具的文件有虚假记载、误导性陈述或者重大遗漏的,Action,否,Action,8,5,2.45,4,1,2.3,0.15,0.2257,5,社区8:5
LE211268,第十六条,Section,否,Section,3,3,1.3,1,2,0.2,1.1,0.1741,3,社区3:3
LE747532,证券服务机构,PartyWithResponsibility,是,PartyWithResponsibility,8,4,3.95,2,2,1.95,2.0,0.4383,4,社区8:4
LE189276,市场禁入,PunishmentMeasure,否,PunishmentMeasure,3,1,0.15,1,0,0.15,0.0,0.0,1,社区3:1
LE285036,第十五条,Section,否,Section,3,8,4.1,1,7,0.2,3.9,0.0815,8,社区3:8
LE630882,第十二条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE919597,法律,Law,否,Law,3,8,2.25,4,4,1.05,1.2,0.0915,8,社区3:8
LE717368,未按照规定披露信息,Action,否,Action,3,10,4.65,10,0,4.65,0.0,0.0995,10,社区3:10
LE658225,《中华人民共和国证券法》,Law,否,Law,3,1,0.3,1,0,0.3,0.0,0.0,1,社区3:1
